Date,Price,Open,High,Low,Change %
"Feb 07, 2018",7.531,7.583,7.62,7.496,-0.49%
"Feb 06, 2018",7.568,7.562,7.616,7.538,-0.49%
"Feb 05, 2018",7.605,7.62,7.62,7.572,0.57%
"Feb 02, 2018",7.562,7.679,7.689,7.509,-0.57%
"Feb 01, 2018",7.605,7.446,7.625,7.399,2.36%
"Jan 31, 2018",7.43,7.423,7.439,7.402,-0.05%
"Jan 30, 2018",7.434,7.44,7.478,7.418,-0.09%
"Jan 29, 2018",7.441,7.322,7.444,7.295,1.83%
"Jan 25, 2018",7.307,7.312,7.341,7.299,0.43%
"Jan 24, 2018",7.276,7.265,7.282,7.243,-1.85%
"Jan 23, 2018",7.413,7.49,7.49,7.407,-0.66%
"Jan 22, 2018",7.462,7.498,7.509,7.453,-0.23%
"Jan 19, 2018",7.479,7.479,7.486,7.451,0.11%
"Jan 18, 2018",7.471,7.447,7.479,7.436,0.76%
"Jan 17, 2018",7.415,7.547,7.552,7.374,-1.81%
"Jan 16, 2018",7.552,7.504,7.587,7.482,1.46%
"Jan 15, 2018",7.443,7.471,7.471,7.438,-0.16%
"Jan 12, 2018",7.455,7.443,7.482,7.404,0.26%
"Jan 11, 2018",7.436,7.419,7.456,7.406,-0.07%
"Jan 10, 2018",7.441,7.411,7.454,7.411,1.00%
"Jan 09, 2018",7.367,7.36,7.377,7.341,0.31%
"Jan 08, 2018",7.344,7.285,7.348,7.279,0.77%
"Jan 05, 2018",7.288,7.331,7.343,7.281,-0.59%
"Jan 04, 2018",7.331,7.346,7.365,7.328,0.12%
"Jan 03, 2018",7.322,7.405,7.423,7.32,-0.84%
"Jan 02, 2018",7.384,7.341,7.399,7.341,0.64%
"Jan 01, 2018",7.337,7.349,7.363,7.315,0.15%
"Dec 29, 2017",7.326,7.41,7.41,7.27,-0.95%
"Dec 28, 2017",7.396,7.303,7.399,7.302,2.45%
"Dec 27, 2017",7.219,7.304,7.304,7.218,-0.77%
"Dec 26, 2017",7.275,7.289,7.307,7.261,0.06%
"Dec 22, 2017",7.271,7.21,7.293,7.206,0.79%
"Dec 21, 2017",7.214,7.249,7.293,7.207,-0.07%
"Dec 20, 2017",7.219,7.204,7.223,7.195,0.57%
"Dec 19, 2017",7.178,7.198,7.198,7.164,-0.04%
"Dec 18, 2017",7.181,7.17,7.223,7.143,0.67%
"Dec 16, 2017",7.133,7.133,7.133,7.133,-0.01%
"Dec 15, 2017",7.134,7.113,7.14,7.112,0.06%
"Dec 14, 2017",7.13,7.143,7.169,7.126,-0.60%
"Dec 13, 2017",7.173,7.246,7.255,7.173,-0.25%
"Dec 12, 2017",7.191,7.22,7.235,7.169,0.26%
"Dec 11, 2017",7.172,7.094,7.177,7.089,1.17%
"Dec 08, 2017",7.089,7.08,7.109,7.073,0.50%
"Dec 07, 2017",7.054,7.015,7.061,7.012,0.33%
"Dec 06, 2017",7.031,7.06,7.084,7.029,-0.40%
"Dec 05, 2017",7.059,7.074,7.08,7.054,-0.34%
"Dec 04, 2017",7.083,7.088,7.107,7.071,0.35%
"Nov 30, 2017",7.058,7.05,7.071,7.032,0.47%
"Nov 29, 2017",7.025,7.037,7.045,7.017,-0.07%
"Nov 28, 2017",7.03,7.074,7.079,7.028,-0.37%
"Nov 27, 2017",7.056,7.012,7.06,7.012,0.77%
"Nov 24, 2017",7.002,7.009,7.043,6.996,0.24%
"Nov 23, 2017",6.985,6.947,7.022,6.946,0.37%
"Nov 22, 2017",6.959,6.899,6.979,6.899,0.91%
"Nov 21, 2017",6.896,6.891,6.918,6.886,0.10%
"Nov 20, 2017",6.889,6.979,6.979,6.887,-2.27%
"Nov 17, 2017",7.049,6.953,7.059,6.953,-0.18%
"Nov 16, 2017",7.062,7.023,7.084,7.02,0.66%
"Nov 15, 2017",7.016,7.031,7.038,7.016,-0.48%
"Nov 14, 2017",7.05,6.988,7.066,6.982,1.12%
"Nov 13, 2017",6.972,6.976,6.984,6.962,0.23%
