close_time,open,high,low,close,volume,quote_volume
2019-04-15,164.26,169.36,161.5,168.0,25289.51937836,4168532.4372496195
2019-04-16,168.0,169.57,156.02,159.91,57801.72337089,9456389.727178931
2019-04-17,159.92,168.08,159.47,166.52,38547.20559228,6312083.280632201
2019-04-18,166.05,168.67,164.44,166.74,37152.67177669,6174960.521101622
2019-04-19,166.46,176.37,166.08,174.17,54241.98352937,9367072.413714254
2019-04-20,174.01,174.33,169.09,173.66,30628.30753856,5277685.090448681
2019-04-21,173.99,177.92,170.75,173.5,18752.89416052,3259737.759686593
2019-04-22,173.72,174.29,166.13,169.87,26726.49279773,4533461.644821434
2019-04-23,169.62,174.0,168.32,171.47,37632.32256098,6426912.1694798255
2019-04-24,171.4,177.07,168.7,170.3,70056.8612894,12155022.464676663
2019-04-25,170.2,171.07,160.28,165.74,70500.84287419,11663259.965377457
2019-04-26,165.49,166.33,146.17,152.0,82344.23813408,13091875.264565026
2019-04-27,152.04,155.78,148.6,153.1,64657.29460081,9819106.176877223
2019-04-28,153.7,158.55,152.5,155.68,29264.71993947,4524251.048115676
2019-04-29,155.71,156.49,152.33,153.13,27661.14714153,4282709.617616028
2019-04-30,152.99,154.6,148.1,152.42,33614.90071308,5107726.447059917
2019-05-01,152.46,161.17,152.44,160.06,39651.50073514,6208869.873922436
2019-05-02,160.27,162.82,156.52,158.3,31494.45435517,5002853.497134918
2019-05-03,158.48,160.78,155.2,158.52,23265.07790158,3679180.822772218
2019-05-04,158.52,169.0,157.7,164.82,69968.86221424,11500565.054927683
2019-05-05,164.82,169.0,157.75,161.95,57753.70397507,9359693.482467111
2019-05-06,162.01,163.58,155.47,161.35,25386.67597054,4080905.1362784714
2019-05-07,161.36,175.98,157.63,171.21,85107.26948619,14204656.092250116
2019-05-08,171.21,180.74,165.02,166.15,114267.87935791,19823234.767466605
2019-05-09,166.32,172.01,162.25,169.61,65393.79997826,10954964.355650917
2019-05-10,169.69,173.5,165.23,170.18,48059.84448274,8103565.863431936
2019-05-11,170.28,176.12,167.41,172.3,79481.099589,13707986.679277964
2019-05-12,172.21,207.0,172.04,192.0,174971.81260252,33285655.73620941
2019-05-13,192.0,204.19,182.64,188.26,142499.47353992,27388726.751362592
2019-05-14,188.07,208.9,185.64,196.47,134218.36276957,26476506.26478418
2019-05-15,196.37,220.99,194.99,217.5,157933.85856612,32956456.528907638
2019-05-16,217.48,250.8,217.29,248.79,168802.69943987,39445734.74625231
2019-05-17,248.87,281.0,242.0,264.51,271325.95742497,70846926.88719729
2019-05-18,264.5,269.55,214.0,244.09,201059.65907952999,47932788.92121909
2019-05-19,244.55,248.33,231.2,234.03,43347.08977857,10377858.736313188
2019-05-20,233.41,264.76,232.58,261.34,94554.36290998,24044129.618422993
2019-05-21,260.71,260.71,238.88,252.38,82901.6885553,20682974.32734304
2019-05-22,252.51,264.56,247.67,254.77,78494.6680803,20029264.755091272
2019-05-23,254.68,261.41,239.59,243.64,90062.83594138,22610461.174835354
2019-05-24,243.56,248.48,231.2,245.79,70336.76503491,16887729.76973614
2019-05-25,245.65,256.33,242.44,249.65,62634.32991338,15738794.42010696
2019-05-26,249.64,259.01,248.34,251.95,32884.05649566,8327328.301919314
2019-05-27,251.38,272.9,245.98,268.21,51946.76010599,13477189.899203531
2019-05-28,268.5,279.98,264.75,271.79,78267.36444747,21087419.20024947
2019-05-29,271.18,276.51,265.37,271.0,42160.42181298,11391577.430819722
2019-05-30,270.89,274.47,256.56,269.29,42713.163131,11475245.031284131
2019-05-31,269.35,289.04,239.33,254.37,115776.87200082,31291104.8419374
2019-06-01,254.37,268.86,245.07,267.07,76402.57258408,19606962.778333046
